,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,train_cross_acc_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,cross_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra,test_cross_acc
0,0,1.5816168818632355,0.41048,0.43402159394479073,0.22525597269624573,0.41744880546075086,0.4128626279863481,1.2763249255433868,2.039633294226418,1.4169411055649384,1.4681261928988174,0.563,0.15677777777777777,0.505,0.5203
1,1,1.1945426256760308,0.57252,0.61868321460374,0.2207764505119454,0.5761518771331058,0.5714590443686007,1.0305550211592565,2.4330648200612672,1.1305435948734042,1.3308066851656202,0.6531,0.09844444444444445,0.5746666666666667,0.6127
2,2,1.0031085817710212,0.64242,0.6836041852181657,0.3103668941979522,0.5851109215017065,0.6505972696245734,1.1985189869434019,0.8055745992862003,1.1054008769083628,1.9680144937945083,0.6003,0.6554444444444445,0.2808888888888889,0.6291
3,3,0.8758653871848455,0.687,0.7193343722172751,0.4238481228668942,0.5296501706484642,0.69464590443686,1.0010762908790685,0.8535303893223615,0.9579757821710804,2.033038213219441,0.6561,0.6353333333333333,0.2916666666666667,0.6825
4,4,0.7840935542150531,0.72202,0.7503060997328584,0.5027730375426621,0.4899744027303754,0.7232295221843004,0.7283635230004033,1.54751958477665,0.8915231529670425,1.385977415971353,0.7565,0.4156666666666667,0.4691111111111111,0.7102
5,5,0.7266410602175671,0.74172,0.7663624220837043,0.5454351535836177,0.46309726962457337,0.7454138225255973,1.3525941734072529,0.15353403922537684,0.8826702176770077,4.303206010603569,0.5138,0.9576666666666667,0.03855555555555556,0.7032
6,6,0.65735434022401,0.771,0.7914626001780944,0.6100682593856656,0.4308873720136519,0.773037542662116,0.8438739097571071,0.3131480191794919,0.6740008068235614,4.219443744337055,0.7226,0.8835555555555555,0.10466666666666667,0.7728
7,7,0.6162165729590999,0.78352,0.8023708815672307,0.6488907849829352,0.38801194539249145,0.7785836177474402,0.6764874937413614,0.4531441861894769,0.7193966300427159,3.483643159060411,0.7607,0.8427777777777777,0.13366666666666666,0.7593
8,8,0.5754049549932065,0.79548,0.8129452359750667,0.6796075085324232,0.36668088737201365,0.7864761092150171,0.5793757732910446,0.5263710651599186,0.649441845809357,3.1743000829723518,0.8033,0.7918888888888889,0.18722222222222223,0.7771
9,9,0.5452713601272124,0.8092,0.826079697239537,0.7052047781569966,0.34812286689419797,0.7965017064846417,0.7724459442911269,0.2154192844746818,0.6931497918654091,4.835841098301847,0.7344,0.9204444444444444,0.07011111111111111,0.7733
10,10,0.5074462812117604,0.82354,0.8377393143365984,0.7504266211604096,0.306740614334471,0.8056740614334471,0.49229950957660434,1.0828728298066368,0.6051091514056242,2.7488063456306997,0.835,0.6443333333333333,0.3168888888888889,0.801
11,11,0.48175613098132336,0.8324,0.8446404719501336,0.7664249146757679,0.2960750853242321,0.8184726962457338,0.5032876522480687,0.4816136255230702,0.6196660033509701,4.746975200276979,0.8363,0.8335555555555556,0.154,0.7974
12,12,0.46774557724480736,0.83684,0.8497885129118433,0.7777303754266212,0.3018344709897611,0.8167662116040956,0.7781063114540486,0.14469855242002178,0.6153668455685242,7.8036618031246565,0.7367,0.9455555555555556,0.051222222222222225,0.7952
13,13,0.4362641706338624,0.8476,0.8589158504007124,0.8003412969283277,0.2787969283276451,0.827858361774744,0.7150051190128809,0.07557976959456861,0.6021144386333755,9.105191956103688,0.7643,0.9722222222222222,0.024888888888888887,0.8067
14,14,0.43010628086221797,0.84916,0.8620881567230633,0.8031143344709898,0.2741040955631399,0.8226322525597269,0.474439505534836,0.23739983802530126,0.5459751750849471,5.862005482257252,0.8387,0.9102222222222223,0.08122222222222222,0.8192
15,15,0.40362433208833876,0.8578,0.869629341050757,0.8178327645051194,0.2638651877133106,0.8324445392491467,0.6503934445260446,0.20023385603243196,0.6923756931401506,7.02285649071277,0.7844,0.9248888888888889,0.06377777777777778,0.7848
16,16,0.3938758050465523,0.86242,0.8752226179875334,0.8135665529010239,0.27069112627986347,0.8377773037542662,0.5091268805008901,0.399885786671034,0.6414119963404499,5.389794342954394,0.84,0.8563333333333333,0.13166666666666665,0.8001
17,17,0.3736900412060721,0.87006,0.8803984861976848,0.8340443686006825,0.246160409556314,0.8484428327645052,0.3792547549628004,0.2580878646440909,0.49466780639147456,5.64968501346212,0.8742,0.9037777777777778,0.08922222222222222,0.8351
18,18,0.3595791135907478,0.87272,0.8846282279608192,0.8368174061433447,0.24573378839590443,0.8450298634812287,0.531140252759185,0.062258629810432314,0.5387206843382195,8.843281483986008,0.821,0.9782222222222222,0.019444444444444445,0.826
19,19,0.35118710807979564,0.87796,0.8894979964381122,0.8391638225255973,0.24445392491467577,0.8531356655290102,0.4476122410991524,0.17667673790538815,0.5198211469982243,6.993268986822853,0.8494,0.935,0.06077777777777778,0.8349
20,20,0.3321815811650223,0.88464,0.8934772929652716,0.85580204778157,0.23080204778156996,0.8651877133105802,0.5101465360273288,0.06406959768017413,0.5589811805682846,9.503309733431104,0.83,0.9776666666666667,0.019666666666666666,0.8226
21,21,0.32673563352783624,0.8856,0.8969556990204809,0.8624146757679181,0.21565699658703072,0.8536689419795221,0.5573218283773977,0.03299701005272882,0.49127989328360255,11.32593377878968,0.812,0.9862222222222222,0.012777777777777779,0.8399
22,22,0.32390927071766473,0.8866,0.898903606411398,0.8547354948805461,0.23592150170648465,0.8553754266211604,0.38601537850461426,0.18796604326073552,0.5017365500142302,6.8505632910929934,0.8726,0.9312222222222222,0.06233333333333333,0.8346
23,23,0.29505453878046606,0.89842,0.9070569902048086,0.8837457337883959,0.2030716723549488,0.8726535836177475,0.5509082229831551,0.10385926175390331,0.4828635993637616,8.273413664858106,0.8146,0.9637777777777777,0.03188888888888889,0.8434
24,24,0.2968676946771419,0.8963,0.9076970169189671,0.8668941979522184,0.22824232081911264,0.867320819112628,0.4253260636631447,0.09216848021032105,0.5071117821373518,8.114060757865369,0.8591,0.9641111111111111,0.034,0.8378
25,25,0.29578415933243757,0.8983,0.908977070347284,0.8726535836177475,0.21715017064846417,0.8702005119453925,0.5111166993273965,0.02776345447965071,0.48663145567797406,11.992630354115661,0.8305,0.9912222222222222,0.008666666666666666,0.8382
