intervention,level,ate,asr,bd_acc_true,clean_acc_int,n
baseline_bd,none,0.8928384647423129,1.0,0.0,0.836,2000
blur_avgpool,1,0.8928384647423129,1.0,0.0,0.836,2000
blur_avgpool,3,0.201814770933663,0.313,0.319,0.3155,2000
blur_avgpool,5,0.2655928230141771,0.37,0.152,0.143,2000
blur_avgpool,7,0.3217723244964956,0.4295,0.1245,0.1225,2000
color_jitter,"{'brightness': -0.1, 'contrast': 1.0}",0.8928865111225943,1.0,0.0,0.839,2000
color_jitter,"{'brightness': 0.0, 'contrast': 0.8}",0.8877386917823653,1.0,0.0,0.82,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.0}",0.8928384647423129,1.0,0.0,0.836,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.2}",0.894625629966865,1.0,0.0,0.821,2000
color_jitter,"{'brightness': 0.1, 'contrast': 1.0}",0.8928304504209857,1.0,0.0,0.835,2000
gaussian_noise,0.0,0.8928384647423129,1.0,0.0,0.836,2000
gaussian_noise,0.05,0.892721910482059,1.0,0.0,0.8285,2000
gaussian_noise,0.1,0.8930522771531444,1.0,0.0,0.7725,2000
gaussian_noise,0.2,0.8940356341654162,1.0,0.0,0.512,2000
gaussian_noise,0.3,0.8942481337541441,1.0,0.0,0.288,2000
jpeg_quant,16,0.8935151227468352,1.0,0.0,0.7665,2000
jpeg_quant,256,0.8928384647423129,1.0,0.0,0.836,2000
jpeg_quant,32,0.8927907609397273,1.0,0.0,0.825,2000
jpeg_quant,64,0.8926605954223972,1.0,0.0,0.8355,2000
random_crop_pad,0,0.8928384647423129,1.0,0.0,0.836,2000
random_crop_pad,2,0.5264972790217327,0.6645,0.2875,0.826,2000
random_crop_pad,4,0.43224824746049595,0.5725,0.354,0.801,2000
random_crop_pad,6,0.40245032507141576,0.5385,0.38,0.7455,2000
random_crop_pad,8,0.4004125685225167,0.531,0.3705,0.682,2000
salt_pepper,0.0,0.8928384647423129,1.0,0.0,0.836,2000
salt_pepper,0.01,0.8930371590310435,1.0,0.0,0.779,2000
salt_pepper,0.03,0.8928349799865585,1.0,0.0,0.6535,2000
salt_pepper,0.05,0.8905775209122996,0.998,0.002,0.587,2000
salt_pepper,0.1,0.8832372104940198,0.9945,0.005,0.436,2000
