intervention,level,ate,asr,bd_acc_true,clean_acc_int,n
baseline_bd,none,0.9932901246206406,1.0,0.0,0.9345,2000
blur_avgpool,1,0.9932901246206406,1.0,0.0,0.9345,2000
blur_avgpool,3,0.021968124358346813,0.0265,0.535,0.589,2000
blur_avgpool,5,0.047881883652187186,0.048,0.226,0.23,2000
blur_avgpool,7,0.08730155804351229,0.0875,0.173,0.173,2000
color_jitter,"{'brightness': -0.1, 'contrast': 1.0}",0.9932901704566124,1.0,0.0,0.933,2000
color_jitter,"{'brightness': 0.0, 'contrast': 0.8}",0.9924988784448745,1.0,0.0,0.938,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.0}",0.9932901246206406,1.0,0.0,0.9345,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.2}",0.9933095876233222,1.0,0.0,0.93,2000
color_jitter,"{'brightness': 0.1, 'contrast': 1.0}",0.9932902521745803,1.0,0.0,0.937,2000
gaussian_noise,0.0,0.9932901246206406,1.0,0.0,0.9345,2000
gaussian_noise,0.05,0.9932857249633911,1.0,0.0,0.923,2000
gaussian_noise,0.1,0.9932313041047695,1.0,0.0,0.853,2000
gaussian_noise,0.2,0.9921423345611933,0.9985,0.001,0.2055,2000
gaussian_noise,0.3,0.9932969550447109,1.0,0.0,0.001,2000
jpeg_quant,16,0.992917517538512,1.0,0.0,0.857,2000
jpeg_quant,256,0.9932901246206406,1.0,0.0,0.9345,2000
jpeg_quant,32,0.9932840298072937,1.0,0.0,0.9185,2000
jpeg_quant,64,0.9932843765275123,1.0,0.0,0.932,2000
random_crop_pad,0,0.9932901246206406,1.0,0.0,0.9345,2000
random_crop_pad,2,0.9932853080587032,1.0,0.0,0.9345,2000
random_crop_pad,4,0.9932249317423942,1.0,0.0,0.924,2000
random_crop_pad,6,0.9930185538785102,1.0,0.0,0.907,2000
random_crop_pad,8,0.9915699745447877,0.999,0.001,0.8835,2000
salt_pepper,0.0,0.9932901246206406,1.0,0.0,0.9345,2000
salt_pepper,0.01,0.9932918597714546,1.0,0.0,0.8995,2000
salt_pepper,0.03,0.9932864282981995,1.0,0.0,0.806,2000
salt_pepper,0.05,0.9930914507465007,1.0,0.0,0.7215,2000
salt_pepper,0.1,0.9931668558673503,1.0,0.0,0.4935,2000
