intervention,level,ate,asr,bd_acc_true,clean_acc_int,n
baseline_bd,none,0.8984200891740629,0.9545,0.0425,0.907,2000
blur_avgpool,1,0.8984200891740629,0.9545,0.0425,0.907,2000
blur_avgpool,3,0.057230713266262015,0.0585,0.4465,0.496,2000
blur_avgpool,5,0.07655037126744121,0.0785,0.229,0.2225,2000
blur_avgpool,7,0.11487771454965336,0.1295,0.183,0.1775,2000
color_jitter,"{'brightness': -0.1, 'contrast': 1.0}",0.886121126220126,0.9445,0.0515,0.9065,2000
color_jitter,"{'brightness': 0.0, 'contrast': 0.8}",0.5402517078024538,0.588,0.3705,0.9035,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.0}",0.8984200891740629,0.9545,0.0425,0.907,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.2}",0.7928416886724308,0.858,0.1295,0.9055,2000
color_jitter,"{'brightness': 0.1, 'contrast': 1.0}",0.8895501012446921,0.943,0.053,0.9085,2000
gaussian_noise,0.0,0.8984200891740629,0.9545,0.0425,0.907,2000
gaussian_noise,0.05,0.8871430112227836,0.947,0.048,0.9005,2000
gaussian_noise,0.1,0.8724038384148307,0.937,0.055,0.853,2000
gaussian_noise,0.2,0.8421302062128462,0.924,0.045,0.635,2000
gaussian_noise,0.3,0.7646469446166311,0.864,0.0525,0.402,2000
jpeg_quant,16,0.8857896663651891,0.9495,0.041,0.8575,2000
jpeg_quant,256,0.8984200891740629,0.9545,0.0425,0.907,2000
jpeg_quant,32,0.8884759500037771,0.9445,0.0515,0.8985,2000
jpeg_quant,64,0.896124998553315,0.953,0.0445,0.9075,2000
random_crop_pad,0,0.8984200891740629,0.9545,0.0425,0.907,2000
random_crop_pad,2,0.7889843791636069,0.846,0.1405,0.9015,2000
random_crop_pad,4,0.6847770975284622,0.7425,0.23,0.8895,2000
random_crop_pad,6,0.5853759198491713,0.632,0.316,0.87,2000
random_crop_pad,8,0.5024975154235379,0.5455,0.3785,0.8455,2000
salt_pepper,0.0,0.8984200891740629,0.9545,0.0425,0.907,2000
salt_pepper,0.01,0.8961251230651114,0.954,0.042,0.888,2000
salt_pepper,0.03,0.8781640579993119,0.9445,0.0485,0.853,2000
salt_pepper,0.05,0.8534516614811446,0.928,0.062,0.805,2000
salt_pepper,0.1,0.7799701271052772,0.88,0.0835,0.6875,2000
