intervention,level,ate,asr,bd_acc_true,clean_acc_int,n
baseline_bd,none,0.9907124229366537,0.9985,0.0015,0.927,2000
blur_avgpool,1,0.9907124229366537,0.9985,0.0015,0.927,2000
blur_avgpool,3,0.9920769958155807,1.0,0.0,0.5305,2000
blur_avgpool,5,0.6551634145034269,0.7115,0.051,0.22,2000
blur_avgpool,7,0.4715670786439669,0.509,0.092,0.133,2000
color_jitter,"{'brightness': -0.1, 'contrast': 1.0}",0.9906681461273339,0.9985,0.0015,0.927,2000
color_jitter,"{'brightness': 0.0, 'contrast': 0.8}",0.9912360546993669,0.9995,0.0005,0.9305,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.0}",0.9907124229366537,0.9985,0.0015,0.927,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.2}",0.9905475456299838,0.9985,0.0015,0.9275,2000
color_jitter,"{'brightness': 0.1, 'contrast': 1.0}",0.9907641386272964,0.9985,0.0015,0.9285,2000
gaussian_noise,0.0,0.9907124229366537,0.9985,0.0015,0.927,2000
gaussian_noise,0.05,0.9708846609661806,0.9835,0.0155,0.92,2000
gaussian_noise,0.1,0.510647925121501,0.543,0.2985,0.8755,2000
gaussian_noise,0.2,0.018816877974108467,0.0245,0.346,0.6415,2000
gaussian_noise,0.3,-0.005244219042824928,0.0015,0.205,0.374,2000
jpeg_quant,16,0.4186885997306749,0.4335,0.3855,0.8705,2000
jpeg_quant,256,0.9907124229366537,0.9985,0.0015,0.927,2000
jpeg_quant,32,0.9608719410264686,0.9755,0.0215,0.923,2000
jpeg_quant,64,0.9903855967758801,0.9985,0.0015,0.9275,2000
random_crop_pad,0,0.9907124229366537,0.9985,0.0015,0.927,2000
random_crop_pad,2,0.9911049527092484,0.999,0.001,0.9355,2000
random_crop_pad,4,0.9905852551608925,0.9985,0.0015,0.9245,2000
random_crop_pad,6,0.9906265452560848,0.9985,0.0015,0.915,2000
random_crop_pad,8,0.9910833305997886,0.999,0.001,0.8825,2000
salt_pepper,0.0,0.9907124229366537,0.9985,0.0015,0.927,2000
salt_pepper,0.01,0.9731611771289836,0.9875,0.0115,0.8925,2000
salt_pepper,0.03,0.5635577092928519,0.593,0.3035,0.817,2000
salt_pepper,0.05,0.3080028649139875,0.319,0.4405,0.7555,2000
salt_pepper,0.1,0.12608205240318549,0.133,0.3895,0.6585,2000
