intervention,level,ate,asr,bd_acc_true,clean_acc_int,n
baseline_bd,none,0.8806930818746967,0.9095,0.0875,0.9215,2000
blur_avgpool,1,0.8806930818746967,0.9095,0.0875,0.9215,2000
blur_avgpool,3,0.5665250848596023,0.6565,0.11,0.2885,2000
blur_avgpool,5,0.356666603303367,0.3875,0.122,0.1535,2000
blur_avgpool,7,0.3887665176355203,0.413,0.103,0.1185,2000
color_jitter,"{'brightness': -0.1, 'contrast': 1.0}",0.8788397575429098,0.9085,0.0875,0.921,2000
color_jitter,"{'brightness': 0.0, 'contrast': 0.8}",0.8933373336504427,0.9255,0.0715,0.9105,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.0}",0.8806930818746967,0.9095,0.0875,0.9215,2000
color_jitter,"{'brightness': 0.0, 'contrast': 1.2}",0.8444077550824003,0.8805,0.114,0.92,2000
color_jitter,"{'brightness': 0.1, 'contrast': 1.0}",0.8814412339203026,0.9115,0.0855,0.9165,2000
gaussian_noise,0.0,0.8806930818746967,0.9095,0.0875,0.9215,2000
gaussian_noise,0.05,0.1888757727172123,0.1875,0.7285,0.91,2000
gaussian_noise,0.1,0.020096921154932782,0.024,0.8525,0.886,2000
gaussian_noise,0.2,-0.005204696337843448,0.0035,0.712,0.7455,2000
gaussian_noise,0.3,-0.008869872568855375,0.0005,0.471,0.512,2000
jpeg_quant,16,0.010540037942116111,0.0165,0.867,0.888,2000
jpeg_quant,256,0.8806930818746967,0.9095,0.0875,0.9215,2000
jpeg_quant,32,0.15551018716949316,0.1535,0.7685,0.912,2000
jpeg_quant,64,0.48560610783381336,0.5035,0.4555,0.9175,2000
random_crop_pad,0,0.8806930818746967,0.9095,0.0875,0.9215,2000
random_crop_pad,2,0.7650790071510463,0.796,0.188,0.912,2000
random_crop_pad,4,0.5375593941946271,0.5665,0.392,0.906,2000
random_crop_pad,6,0.34612894222788926,0.3535,0.5475,0.8855,2000
random_crop_pad,8,0.23782979069858418,0.2405,0.6075,0.846,2000
salt_pepper,0.0,0.8806930818746967,0.9095,0.0875,0.9215,2000
salt_pepper,0.01,0.7201654730873123,0.7535,0.2285,0.9115,2000
salt_pepper,0.03,0.38006357692991266,0.3945,0.5405,0.878,2000
salt_pepper,0.05,0.17384667619375335,0.179,0.71,0.8475,2000
salt_pepper,0.1,0.03574132795647078,0.038,0.725,0.766,2000
